,model_type,roi,task,mean_delta_x,ci_lower_95,ci_upper_95,n_subjects,mean_delta_y,p_one_sided,p_fdr,reject_fdr
32,head,V2d,depth,0.005398227354932533,0.0008404356311075389,0.009902024641633034,8,0.005398227,0.031996800319968,0.127987201279872,False
33,head,V2d,general_pose,0.0011674029618162773,-0.002608471317216754,0.004771323862951248,8,0.0011674028,0.26247375262473754,0.4240909242409092,False
34,head,V2d,normal,0.0007462910651608867,-0.0025944578112103043,0.005760143510997295,8,0.00074629125,0.47235276472352766,0.47235276472352766,False
35,head,V2d,seg,0.0010235722043457907,-0.0035846756829414515,0.005506416165735572,8,0.0010235723,0.3180681931806819,0.4240909242409092,False
36,head,V2v,depth,0.007173547463062452,-0.0002160426622140221,0.017133963340893375,8,0.0071735475,0.0690930906909309,0.09212412092124121,False
37,head,V2v,general_pose,0.005672499100222703,0.0022059623152017593,0.009374913154169915,8,0.005672499,0.007899210078992101,0.031596840315968405,True
38,head,V2v,normal,-0.0011461191079029376,-0.0029991089832037687,0.0005871922316146078,8,-0.0011461191,0.8365163483651635,0.8365163483651635,False
39,head,V2v,seg,0.005770212748425527,-2.9368109562710542e-05,0.01206639944575727,8,0.005770213,0.06629337066293371,0.09212412092124121,False
40,head,V3d,depth,0.004809190880437256,-0.0009038358432007953,0.011770308692939565,8,0.004809191,0.0943905609439056,0.3775622437756224,False
41,head,V3d,general_pose,0.0011803825771586202,-0.0021208254620432854,0.004907315596938133,8,0.0011803828,0.295970402959704,0.4062260440622604,False
42,head,V3d,normal,0.0006541290114589482,-0.0018838750780560075,0.0027586733922362328,8,0.000654129,0.3046695330466953,0.4062260440622604,False
43,head,V3d,seg,-0.001375538441467039,-0.007576362998224795,0.0033989043440669775,8,-0.0013755385,0.6093390660933906,0.6093390660933906,False
44,head,V3v,depth,0.005822769600783179,-0.0013399704155744984,0.015078607015311718,8,0.0058227694,0.1254874512548745,0.250974902509749,False
45,head,V3v,general_pose,0.004488270475105485,-1.2153022908023559e-05,0.009769277530722315,8,0.0044882707,0.06259374062593741,0.25037496250374963,False
46,head,V3v,normal,-0.001335889128781742,-0.0038925972767174244,0.0014572065236279688,8,-0.0013358891,0.7913208679132087,0.7913208679132087,False
47,head,V3v,seg,-0.001181425892506971,-0.008691498450934887,0.004413563758134842,8,-0.001181426,0.5556444355564444,0.7408592474085925,False
48,head,hV4,depth,0.007537619057343917,-0.0001727495837258175,0.016290175309404718,8,0.007537619,0.0770922907709229,0.1541845815418458,False
49,head,hV4,general_pose,0.006313864849741779,0.001070567057467997,0.012512747128494069,8,0.006313865,0.037196280371962806,0.14878512148785122,False
50,head,hV4,normal,-0.0006113254652115735,-0.0018024748424068093,0.0005416615647845885,8,-0.0006113255,0.8206179382061793,0.8206179382061793,False
51,head,hV4,seg,0.002191360345097995,-0.002056965255178511,0.006839590438175942,8,0.0021913606,0.18998100189981001,0.25330800253308,False
52,transformer,EBA,depth,-0.0064989646563426845,-0.013516269088722766,-0.00025110060232691467,8,-0.006498965,0.9406059394060594,0.9517048295170483,False
53,transformer,EBA,general_pose,0.00827091053164146,-0.0008768527550273574,0.017214788123965263,8,0.00827091,0.0781921807819218,0.3127687231276872,False
